City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year,State cod,Adult Obesity %,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels
Phoenix,Arizona,55000,Male,5674.0,25326.0,44982.0,53423.0,56588.0,24336.0,69513.0,10435.0,14107.0,29277.0,12795.0,5303.0,17800.0,12525.0,16394.0,9113.0,20153.0,12148.0,22515.0,12328.0,28562.0,12883.0,27876.0,29399.0,21692.0,25919.0,12317.0,18515.0,23699.0,17271.0,25042.0,38859.0,2013,AZ,25.3,54.6
Oakland,California,53000,Male,2485.0,3215.0,10647.0,15565.0,13942.0,4144.0,17465.0,3213.0,4206.0,9972.0,8583.0,2539.0,6097.0,4360.0,5031.0,4702.0,5907.0,2861.0,5592.0,4193.0,6797.0,3047.0,6212.0,6726.0,5060.0,5893.0,4719.0,5549.0,6929.0,4298.0,7204.0,14682.0,2013,CA,26.2,
San Diego,California,66000,Male,4286.0,21680.0,45543.0,65826.0,73159.0,28741.0,51244.0,8702.0,8861.0,14834.0,9058.0,7449.0,17048.0,12862.0,11368.0,9595.0,16508.0,9754.0,15838.0,9326.0,19896.0,9827.0,23526.0,23799.0,20027.0,20437.0,15895.0,19094.0,25149.0,21412.0,33969.0,63851.0,2013,CA,22.8,56.9
San Francisco,California,67000,Male,2408.0,7991.0,18715.0,27126.0,36958.0,15847.0,48017.0,6404.0,13812.0,28242.0,25099.0,6457.0,9147.0,6179.0,7799.0,5723.0,11287.0,4341.0,8024.0,5136.0,11479.0,4121.0,11949.0,12879.0,10129.0,12368.0,9624.0,12237.0,18142.0,14476.0,27336.0,76881.0,2013,CA,16.0,
San Jose,California,68000,Male,1658.0,9949.0,23430.0,39506.0,49672.0,18535.0,51790.0,6106.0,11073.0,21633.0,17186.0,5037.0,11554.0,8689.0,9129.0,6738.0,10852.0,5538.0,11118.0,7172.0,13999.0,7438.0,15103.0,15109.0,10070.0,12281.0,10874.0,11566.0,17785.0,13798.0,26687.0,66288.0,2013,CA,22.0,52.0
Denver,Colorado,20000,Male,2536.0,13487.0,20094.0,28094.0,28323.0,11153.0,29100.0,4416.0,7382.0,13555.0,9052.0,3697.0,8187.0,5531.0,6570.0,5023.0,7786.0,4355.0,5784.0,5638.0,9329.0,5058.0,14263.0,17765.0,11339.0,12003.0,8033.0,10256.0,14395.0,8643.0,15444.0,26325.0,2013,CO,16.1,59.86
Washington,District of Columbia,50000,Male,3339.0,6308.0,10698.0,21071.0,23831.0,11841.0,30834.0,7922.0,8825.0,16726.0,9149.0,4695.0,14530.0,7635.0,5757.0,4079.0,6090.0,3224.0,5759.0,2545.0,6515.0,2814.0,6544.0,6952.0,5608.0,10602.0,5395.0,8836.0,13533.0,9363.0,20497.0,43152.0,2013,DC,20.6,
Miami,Florida,45000,Male,3364.0,5358.0,14005.0,14708.0,20577.0,6109.0,17726.0,2061.0,5148.0,6939.0,2895.0,2441.0,4123.0,2304.0,6570.0,3041.0,10333.0,4767.0,7250.0,4420.0,11607.0,5936.0,9127.0,6975.0,5927.0,4867.0,2510.0,3816.0,4531.0,2967.0,5715.0,9834.0,2013,FL,20.2,
Indianapolis,Indiana,36003,Male,5010.0,15929.0,21610.0,31960.0,40389.0,17951.0,29783.0,6064.0,5418.0,9950.0,5755.0,2566.0,13645.0,9588.0,8633.0,6808.0,12220.0,5271.0,12120.0,6040.0,12350.0,6323.0,17497.0,17883.0,11538.0,13678.0,9127.0,11503.0,14551.0,8929.0,10204.0,15609.0,2013,IN,28.1,32.3
Boston,Massachusetts,7000,Male,4072.0,9000.0,15273.0,20943.0,23453.0,11380.0,29657.0,5566.0,9818.0,16661.0,15995.0,2888.0,13445.0,7830.0,7794.0,6012.0,9838.0,4740.0,8763.0,4026.0,8581.0,2667.0,11865.0,11214.0,7452.0,10162.0,7198.0,10791.0,11028.0,9372.0,17362.0,26434.0,2013,MA,20.2,28.5
Detroit,Michigan,22000,Male,913.0,6704.0,9037.0,14975.0,16013.0,8624.0,15926.0,2124.0,4066.0,5887.0,4276.0,3001.0,10838.0,7450.0,7761.0,4759.0,7941.0,4204.0,7047.0,3499.0,7371.0,2781.0,9553.0,8036.0,5738.0,4343.0,3700.0,3787.0,4651.0,3772.0,4186.0,3469.0,2013,MI,26.5,20.3
Las Vegas,Nevada,40000,Male,1247.0,6713.0,11669.0,21740.0,27878.0,12987.0,29654.0,5419.0,3819.0,6957.0,3816.0,2186.0,8391.0,5348.0,7880.0,6019.0,9482.0,4018.0,6344.0,4330.0,10277.0,5642.0,10504.0,11178.0,9283.0,7332.0,6091.0,6784.0,8513.0,8032.0,10414.0,12314.0,2013,NV,25.4,80.0
New York,New York,51000,Male,23958.0,63913.0,101556.0,145303.0,191484.0,83137.0,328712.0,65293.0,134115.0,290221.0,332435.0,121069.0,79139.0,62631.0,75394.0,66359.0,105135.0,53602.0,92874.0,62773.0,113368.0,55607.0,135219.0,131983.0,105028.0,110867.0,81921.0,106852.0,131175.0,101297.0,181131.0,319623.0,2013,NY,21.9,71.0
Charlotte,North Carolina,12000,Male,3985.0,14068.0,27731.0,30860.0,29827.0,13228.0,28102.0,8006.0,7776.0,10779.0,7014.0,4185.0,11904.0,7339.0,8970.0,6167.0,8568.0,6304.0,9641.0,7110.0,13299.0,5822.0,17251.0,12147.0,10660.0,10158.0,8691.0,9282.0,12706.0,7043.0,16634.0,33898.0,2013,NC,24.65,50.95
Columbus,Ohio,18000,Male,2830.0,16218.0,26969.0,41387.0,42887.0,19674.0,25044.0,4788.0,5087.0,7553.0,4618.0,2021.0,14432.0,10934.0,10382.0,7338.0,11665.0,5484.0,9124.0,7155.0,11473.0,8747.0,14711.0,17822.0,14853.0,16469.0,12113.0,10203.0,14166.0,12500.0,16247.0,11921.0,2013,OH,26.8,48.9
Philadelphia,Pennsylvania,60000,Male,4556.0,13043.0,24806.0,35149.0,42325.0,17173.0,50461.0,9908.0,13997.0,37589.0,29933.0,12507.0,20695.0,13750.0,14867.0,9784.0,15622.0,9164.0,13624.0,11108.0,21354.0,9026.0,21309.0,25281.0,21779.0,21902.0,16202.0,18997.0,20503.0,15141.0,21981.0,23647.0,2013,PA,24.0,44.0
