City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year
Birmingham city, Alabama,07000,Male,619.0,5594.0,6434.0,10770.0,8463.0,2821.0,6278.0,352.0,354.0,1699.0,783.0,672.0,4315.0,1488.0,3752.0,3113.0,2332.0,2594.0,3807.0,2136.0,3459.0,736.0,4690.0,3451.0,2223.0,3146.0,1881.0,1624.0,2384.0,1707.0,1817.0,1874.0,2013
Dothan city, Alabama,21184,Male,218.0,1546.0,2805.0,3857.0,1960.0,304.0,2241.0,202.0,303.0,735.0,559.0,157.0,1023.0,585.0,762.0,764.0,878.0,857.0,478.0,468.0,675.0,500.0,866.0,1018.0,801.0,1382.0,849.0,756.0,956.0,836.0,982.0,1344.0,2013
Hoover city, Alabama,35896,Male,0.0,2195.0,1883.0,3611.0,3279.0,2422.0,3790.0,943.0,470.0,820.0,669.0,65.0,804.0,612.0,369.0,571.0,922.0,130.0,363.0,366.0,1078.0,685.0,539.0,496.0,840.0,1159.0,917.0,1037.0,1463.0,1182.0,2962.0,6482.0,2013
Huntsville city, Alabama,37000,Male,1123.0,4870.0,6805.0,10147.0,8854.0,3488.0,4738.0,619.0,712.0,788.0,393.0,536.0,3083.0,1738.0,2025.0,1725.0,2164.0,1201.0,1237.0,1059.0,2815.0,1255.0,3399.0,2323.0,3133.0,1833.0,1114.0,1742.0,3768.0,2408.0,4003.0,8797.0,2013
Mobile city, Alabama,50000,Male,259.0,4038.0,6686.0,7708.0,6690.0,2111.0,4188.0,231.0,899.0,1948.0,863.0,748.0,3703.0,2175.0,2511.0,2622.0,1878.0,1265.0,1796.0,1482.0,1797.0,927.0,3266.0,2760.0,2439.0,2215.0,1776.0,2119.0,2697.0,1626.0,2903.0,3754.0,2013
Montgomery city, Alabama,51000,Male,1196.0,4182.0,7019.0,12494.0,9567.0,1964.0,3950.0,381.0,185.0,878.0,501.0,264.0,2878.0,2028.0,2951.0,1766.0,1991.0,1226.0,2557.0,1015.0,1349.0,994.0,3055.0,2764.0,3637.0,3301.0,2539.0,2738.0,2306.0,3546.0,2744.0,4056.0,2013
Tuscaloosa city, Alabama,77256,Male,163.0,2333.0,3199.0,4983.0,2967.0,1321.0,1128.0,82.0,154.0,1313.0,833.0,298.0,3357.0,1890.0,945.0,1119.0,1149.0,826.0,1001.0,295.0,703.0,528.0,2519.0,2187.0,869.0,1580.0,732.0,888.0,852.0,778.0,942.0,2138.0,2013
Anchorage municipality, Alaska,03000,Male,1722.0,9649.0,18963.0,18858.0,13992.0,3907.0,7225.0,1546.0,1150.0,1840.0,976.0,2636.0,3041.0,3150.0,2669.0,1520.0,1956.0,1276.0,2703.0,1711.0,4748.0,2678.0,6007.0,6076.0,5595.0,5920.0,5128.0,4381.0,6633.0,5114.0,10982.0,15602.0,2013
Avondale city, Arizona,04720,Male,193.0,1180.0,1426.0,1933.0,2899.0,1287.0,3209.0,855.0,466.0,1924.0,2100.0,272.0,1135.0,814.0,615.0,364.0,1439.0,953.0,724.0,843.0,1074.0,467.0,1184.0,1816.0,1539.0,1275.0,711.0,1704.0,1192.0,654.0,1203.0,809.0,2013
Casas Adobes CDP, Arizona,10670,Male,170.0,360.0,1904.0,2253.0,2921.0,1765.0,3409.0,1058.0,552.0,623.0,82.0,153.0,1080.0,939.0,239.0,865.0,656.0,224.0,189.0,734.0,738.0,305.0,1215.0,979.0,1461.0,1025.0,720.0,834.0,1220.0,698.0,2118.0,1642.0,2013
