City,State,Year,Zipcode_x,AvrgCommute,AvrgIncome,Zipcode_y,Avrg_HomeValue,MedianMonthly_HC,Zipcode,Number
Abilene,Texas,2013,2000,18.677578475336322,31837.111506776087,1000,89700.0,740.0,1000,48
Abilene,Texas,2014,2000,19.269898104942385,32825.921984303684,1000,103000.0,800.0,1000,48
Abilene,Texas,2015,2000,17.774663875979993,34969.874497080804,1000,113400.0,805.0,1000,48
Abilene,Texas,2016,2000,21.09162358999981,33090.747895419125,1000,107200.0,797.0,1000,48
Abilene,Texas,2017,2000,20.318681115124573,37638.016146890564,1000,114900.0,784.0,1000,48
Akron,Ohio,2013,2000,26.59672016999412,31964.392992159064,1000,78600.0,717.0,1000,39
Akron,Ohio,2014,2000,26.222660776777005,31517.275772743236,1000,80300.0,730.0,1000,39
Akron,Ohio,2015,2000,27.32252553896614,34961.82085323241,1000,80600.0,708.0,1000,39
Akron,Ohio,2016,2000,26.151451255713138,34155.50396790101,1000,78000.0,725.0,1000,39
Akron,Ohio,2017,2000,25.86810403832991,31342.588613982796,1000,81600.0,736.0,1000,39
Alafaya CDP,Florida,2013,820,36.330772035840795,47634.21024135083,410,182400.0,1329.0,410,12
Alafaya CDP,Florida,2014,820,34.27044426845158,47036.548873067266,410,208700.0,1338.0,410,12
Alafaya CDP,Florida,2015,820,33.973,45528.42054325741,410,216000.0,1280.0,410,12
Alafaya CDP,Florida,2016,820,33.712030740310716,54011.006638115636,410,242700.0,1445.0,410,12
Alafaya CDP,Florida,2017,820,37.57241333303685,51661.021199341885,410,255600.0,1386.0,410,12
Alameda,California,2013,1124,38.680405560661775,71046.68410006513,562,630300.0,1485.0,562,6
Alameda,California,2014,1124,39.96796676048787,71848.37915683567,562,662900.0,1593.0,562,6
Alameda,California,2015,1124,41.63641762038437,75408.03896604938,562,738000.0,1742.0,562,6
Alameda,California,2016,1124,42.61921212608125,76710.91167989296,562,771500.0,1769.0,562,6
Alameda,California,2017,1124,43.12607298962557,79836.77182030473,562,891700.0,1948.0,562,6
Albany,Georgia,2013,2104,23.951173970044888,27916.13115845539,1052,97300.0,662.0,1052,13
Albany,Georgia,2014,2104,22.885883246094213,30852.774959819995,1052,100600.0,688.0,1052,13
Albany,Georgia,2015,2104,22.461300186648664,33152.57999365382,1052,92600.0,688.0,1052,13
Albany,Georgia,2016,2104,20.949572280928766,33323.63497571131,1052,88800.0,720.0,1052,13
Albany,Georgia,2017,2104,23.265081830127826,35828.924946614745,1052,97400.0,674.0,1052,13
Albany,New York,2013,2000,22.29157389767484,36674.66848443112,1000,169900.0,900.0,1000,36
Albany,New York,2014,2000,22.35757965883489,41571.42177018746,1000,160300.0,925.0,1000,36
