MedianMonthly_HC,City,Zipcode,Number,State,Year
740.0,Birmingham,07000,01,Alabama,2013
695.0,Dothan,21184,01,Alabama,2013
1196.0,Hoover,35896,01,Alabama,2013
763.0,Huntsville,37000,01,Alabama,2013
771.0,Mobile,50000,01,Alabama,2013
828.0,Montgomery,51000,01,Alabama,2013
788.0,Tuscaloosa,77256,01,Alabama,2013
1372.0,Anchorage municipality,03000,02,Alaska,2013
1019.0,Avondale,04720,04,Arizona,2013
1027.0,Casas Adobes CDP,10670,04,Arizona,2013
1205.0,Chandler,12000,04,Arizona,2013
1084.0,Flagstaff,23620,04,Arizona,2013
1359.0,Gilbert town,27400,04,Arizona,2013
907.0,Glendale,27820,04,Arizona,2013
1202.0,Goodyear,28380,04,Arizona,2013
879.0,Mesa,46000,04,Arizona,2013
1115.0,Peoria,54050,04,Arizona,2013
937.0,Phoenix,55000,04,Arizona,2013
1105.0,San Tan Valley CDP,64210,04,Arizona,2013
1234.0,Scottsdale,65000,04,Arizona,2013
1006.0,Surprise,71510,04,Arizona,2013
955.0,Tempe,73000,04,Arizona,2013
776.0,Tucson,77000,04,Arizona,2013
886.0,Yuma,85540,04,Arizona,2013
773.0,Fayetteville,23290,05,Arkansas,2013
642.0,Fort Smith,24550,05,Arkansas,2013
687.0,Jonesboro,35710,05,Arkansas,2013
859.0,Little Rock,41000,05,Arkansas,2013
706.0,North Little Rock,50450,05,Arkansas,2013
731.0,Springdale,66080,05,Arkansas,2013
1485.0,Alameda,00562,06,California,2013
1265.0,Alhambra,00884,06,California,2013
1460.0,Anaheim,02000,06,California,2013
1497.0,Antioch,02252,06,California,2013
1053.0,Apple Valley town,02364,06,California,2013
932.0,Arden-Arcade CDP,02553,06,California,2013
1114.0,Bakersfield,03526,06,California,2013
1282.0,Baldwin Park,03666,06,California,2013
1220.0,Bellflower,04982,06,California,2013
1513.0,Berkeley,06000,06,California,2013
1506.0,Buena Park,08786,06,California,2013
1494.0,Burbank,08954,06,California,2013
1813.0,Camarillo,10046,06,California,2013
2011.0,Carlsbad,11194,06,California,2013
1103.0,Carmichael CDP,11390,06,California,2013
1542.0,Carson,11530,06,California,2013
939.0,Chico,13014,06,California,2013
1705.0,Chino,13210,06,California,2013
2065.0,Chino Hills,13214,06,California,2013
1536.0,Chula Vista,13392,06,California,2013
1091.0,Citrus Heights,13588,06,California,2013
1261.0,Clovis,14218,06,California,2013
1225.0,Compton,15044,06,California,2013
1408.0,Concord,16000,06,California,2013
1601.0,Corona,16350,06,California,2013
1619.0,Costa Mesa,16532,06,California,2013
1631.0,Daly City,17918,06,California,2013
1390.0,Davis,18100,06,California,2013
1338.0,Downey,19766,06,California,2013
983.0,East Los Angeles CDP,20802,06,California,2013
1128.0,El Cajon,21712,06,California,2013
1583.0,Elk Grove,22020,06,California,2013
1080.0,El Monte,22230,06,California,2013
1323.0,Escondido,22804,06,California,2013
1453.0,Fairfield,23182,06,California,2013
1610.0,Folsom,24638,06,California,2013
1447.0,Fontana,24680,06,California,2013
1901.0,Fremont,26000,06,California,2013
942.0,Fresno,27000,06,California,2013
1472.0,Fullerton,28000,06,California,2013
1390.0,Garden Grove,29000,06,California,2013
1381.0,Glendale,30000,06,California,2013
1079.0,Hawthorne,32548,06,California,2013
1402.0,Hayward,33000,06,California,2013
853.0,Hemet,33182,06,California,2013
1071.0,Hesperia,33434,06,California,2013
1699.0,Huntington Beach,36000,06,California,2013
1146.0,Indio,36448,06,California,2013
1173.0,Inglewood,36546,06,California,2013
2015.0,Irvine,36770,06,California,2013
1230.0,Jurupa Valley,37692,06,California,2013
1782.0,Lake Forest,39496,06,California,2013
1693.0,Lakewood,39892,06,California,2013
1154.0,Lancaster,40130,06,California,2013
1904.0,Livermore,41992,06,California,2013
1219.0,Long Beach,43000,06,California,2013
1333.0,Los Angeles,44000,06,California,2013
1194.0,Lynwood,44574,06,California,2013
1310.0,Manteca,45484,06,California,2013
1313.0,Menifee,46842,06,California,2013
854.0,Merced,46898,06,California,2013
1964.0,Milpitas,47766,06,California,2013
2074.0,Mission Viejo,48256,06,California,2013
1030.0,Modesto,48354,06,California,2013
1309.0,Moreno Valley,49270,06,California,2013
1846.0,Mountain View,49670,06,California,2013
1698.0,Murrieta,50076,06,California,2013
1451.0,Napa,50258,06,California,2013
2317.0,Newport Beach,51182,06,California,2013
1489.0,Norwalk,52526,06,California,2013
1264.0,Oakland,53000,06,California,2013
1383.0,Oceanside,53322,06,California,2013
1332.0,Ontario,53896,06,California,2013
1622.0,Orange,53980,06,California,2013
1443.0,Oxnard,54652,06,California,2013
1313.0,Palmdale,55156,06,California,2013
2416.0,Palo Alto,55282,06,California,2013
1574.0,Pasadena,56000,06,California,2013
1293.0,Perris,56700,06,California,2013
1378.0,Pittsburg,57456,06,California,2013
2404.0,Pleasanton,57792,06,California,2013
1262.0,Pomona,58072,06,California,2013
1106.0,Rancho Cordova,59444,06,California,2013
1717.0,Rancho Cucamonga,59451,06,California,2013
982.0,Redding,59920,06,California,2013
1216.0,Redlands,59962,06,California,2013
1850.0,Redondo Beach,60018,06,California,2013
1943.0,Redwood City,60102,06,California,2013
1177.0,Rialto,60466,06,California,2013
1261.0,Richmond,60620,06,California,2013
1291.0,Riverside,62000,06,California,2013
1483.0,Roseville,62938,06,California,2013
1081.0,Sacramento,64000,06,California,2013
1212.0,Salinas,64224,06,California,2013
971.0,San Bernardino,65000,06,California,2013
1499.0,San Buenaventura (Ventura),65042,06,California,2013
1970.0,San Clemente,65084,06,California,2013
1475.0,San Diego,66000,06,California,2013
1640.0,San Francisco,67000,06,California,2013
1727.0,San Jose,68000,06,California,2013
1289.0,San Leandro,68084,06,California,2013
1420.0,San Marcos,68196,06,California,2013
1835.0,San Mateo,68252,06,California,2013
2647.0,San Ramon,68378,06,California,2013
1323.0,Santa Ana,69000,06,California,2013
