City,State,Zip Code,Median Home Value USD,Year
North Little Rock,Arkansas,50450,137600.0,2017
Rogers,Arkansas,60410,171600.0,2017
Springdale,Arkansas,66080,144400.0,2017
Alameda,California,00562,891700.0,2017
Alhambra,California,00884,597200.0,2017
Anaheim,California,02000,577500.0,2017
Antioch,California,02252,408100.0,2017
Apple Valley town,California,02364,249900.0,2017
Arden-Arcade CDP,California,02553,372100.0,2017
Bakersfield,California,03526,239700.0,2017
Baldwin Park,California,03666,416500.0,2017
Bellflower,California,04982,471800.0,2017
Berkeley,California,06000,993500.0,2017
Buena Park,California,08786,570900.0,2017
Burbank,California,08954,723000.0,2017
Camarillo,California,10046,622100.0,2017
Carlsbad,California,11194,809700.0,2017
Carmichael CDP,California,11390,382500.0,2017
Carson,California,11530,467600.0,2017
Castro Valley CDP,California,11964,729000.0,2017
Chico,California,13014,332300.0,2017
Chino,California,13210,465000.0,2017
Chino Hills,California,13214,610900.0,2017
Chula Vista,California,13392,497800.0,2017
Citrus Heights,California,13588,302300.0,2017
Clovis,California,14218,319100.0,2017
Compton,California,15044,346300.0,2017
Concord,California,16000,572800.0,2017
Corona,California,16350,470300.0,2017
Costa Mesa,California,16532,744900.0,2017
Daly City,California,17918,786200.0,2017
Davis,California,18100,649700.0,2017
Downey,California,19766,556600.0,2017
East Los Angeles CDP,California,20802,434200.0,2017
El Cajon,California,21712,458100.0,2017
Elk Grove,California,22020,403300.0,2017
El Monte,California,22230,442100.0,2017
Escondido,California,22804,442800.0,2017
Fairfield,California,23182,415700.0,2017
Florence-Graham CDP,California,24477,371800.0,2017
Folsom,California,24638,521600.0,2017
Fontana,California,24680,373600.0,2017
Fremont,California,26000,927500.0,2017
Fresno,California,27000,234500.0,2017
Fullerton,California,28000,672300.0,2017
Garden Grove,California,29000,558800.0,2017
Glendale,California,30000,790300.0,2017
Hawthorne,California,32548,601400.0,2017
Hayward,California,33000,595500.0,2017
Hemet,California,33182,194900.0,2017
Hesperia,California,33434,238600.0,2017
Huntington Beach,California,36000,738600.0,2017
Indio,California,36448,277400.0,2017
Inglewood,California,36546,528300.0,2017
Irvine,California,36770,822100.0,2017
Jurupa Valley,California,37692,370300.0,2017
Laguna Niguel,California,39248,809500.0,2017
Lake Elsinore,California,39486,347000.0,2017
Lake Forest,California,39496,626900.0,2017
Lakewood,California,39892,583200.0,2017
Lancaster,California,40130,262400.0,2017
