City Name,Gender,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,State Code,Zip Code,Year,State,City
Birmingham city,Male,4315.0,1488.0,3752.0,3113.0,2332.0,2594.0,3807.0,2136.0,3459.0,736.0,4690.0,3451.0,2223.0,3146.0,1881.0,1624.0,2384.0,1707.0,1817.0,1874.0,01,07000,2013, Alabama,
Dothan city,Male,1023.0,585.0,762.0,764.0,878.0,857.0,478.0,468.0,675.0,500.0,866.0,1018.0,801.0,1382.0,849.0,756.0,956.0,836.0,982.0,1344.0,01,21184,2013, Alabama,
Hoover city,Male,804.0,612.0,369.0,571.0,922.0,130.0,363.0,366.0,1078.0,685.0,539.0,496.0,840.0,1159.0,917.0,1037.0,1463.0,1182.0,2962.0,6482.0,01,35896,2013, Alabama,
Huntsville city,Male,3083.0,1738.0,2025.0,1725.0,2164.0,1201.0,1237.0,1059.0,2815.0,1255.0,3399.0,2323.0,3133.0,1833.0,1114.0,1742.0,3768.0,2408.0,4003.0,8797.0,01,37000,2013, Alabama,
Mobile city,Male,3703.0,2175.0,2511.0,2622.0,1878.0,1265.0,1796.0,1482.0,1797.0,927.0,3266.0,2760.0,2439.0,2215.0,1776.0,2119.0,2697.0,1626.0,2903.0,3754.0,01,50000,2013, Alabama,
Montgomery city,Male,2878.0,2028.0,2951.0,1766.0,1991.0,1226.0,2557.0,1015.0,1349.0,994.0,3055.0,2764.0,3637.0,3301.0,2539.0,2738.0,2306.0,3546.0,2744.0,4056.0,01,51000,2013, Alabama,
Tuscaloosa city,Male,3357.0,1890.0,945.0,1119.0,1149.0,826.0,1001.0,295.0,703.0,528.0,2519.0,2187.0,869.0,1580.0,732.0,888.0,852.0,778.0,942.0,2138.0,01,77256,2013, Alabama,
Anchorage municipality,Male,3041.0,3150.0,2669.0,1520.0,1956.0,1276.0,2703.0,1711.0,4748.0,2678.0,6007.0,6076.0,5595.0,5920.0,5128.0,4381.0,6633.0,5114.0,10982.0,15602.0,02,03000,2013, Alaska,
Avondale city,Male,1135.0,814.0,615.0,364.0,1439.0,953.0,724.0,843.0,1074.0,467.0,1184.0,1816.0,1539.0,1275.0,711.0,1704.0,1192.0,654.0,1203.0,809.0,04,04720,2013, Arizona,
Casas Adobes CDP,Male,1080.0,939.0,239.0,865.0,656.0,224.0,189.0,734.0,738.0,305.0,1215.0,979.0,1461.0,1025.0,720.0,834.0,1220.0,698.0,2118.0,1642.0,04,10670,2013, Arizona,
Chandler city,Male,2843.0,2059.0,2168.0,1816.0,2418.0,1259.0,1409.0,722.0,3301.0,1127.0,5607.0,4382.0,3264.0,4387.0,2847.0,3257.0,5729.0,3479.0,8655.0,12479.0,04,12000,2013, Arizona,
Flagstaff city,Male,2823.0,2296.0,810.0,542.0,1971.0,900.0,1027.0,539.0,943.0,526.0,854.0,1127.0,966.0,1466.0,515.0,924.0,1442.0,643.0,1738.0,1019.0,04,23620,2013, Arizona,
Gilbert town,Male,2500.0,1166.0,1653.0,1610.0,2128.0,1284.0,1940.0,746.0,1921.0,1366.0,3203.0,3415.0,1904.0,3509.0,2043.0,3267.0,5207.0,4825.0,8993.0,12194.0,04,27400,2013, Arizona,
Glendale city,Male,3879.0,1773.0,2049.0,2051.0,3210.0,2372.0,3433.0,1908.0,3839.0,1844.0,4157.0,4447.0,2323.0,4422.0,1672.0,2833.0,3234.0,2222.0,3054.0,3871.0,04,27820,2013, Arizona,
Goodyear city,Male,809.0,207.0,265.0,219.0,752.0,344.0,426.0,369.0,860.0,165.0,733.0,1285.0,621.0,1406.0,477.0,745.0,1036.0,597.0,2215.0,2281.0,04,28380,2013, Arizona,
Mesa city,Male,5979.0,5405.0,5061.0,3150.0,6082.0,1875.0,5512.0,3104.0,7462.0,3345.0,7692.0,8637.0,7252.0,8130.0,5248.0,5996.0,5891.0,6877.0,7554.0,9437.0,04,46000,2013, Arizona,
Peoria city,Male,1720.0,886.0,1124.0,583.0,2050.0,528.0,1833.0,862.0,1647.0,805.0,3095.0,2944.0,1940.0,2238.0,1306.0,2192.0,2412.0,1676.0,4528.0,5437.0,04,54050,2013, Arizona,
Phoenix city,Male,17800.0,12525.0,16394.0,9113.0,20153.0,12148.0,22515.0,12328.0,28562.0,12883.0,27876.0,29399.0,21692.0,25919.0,12317.0,18515.0,23699.0,17271.0,25042.0,38859.0,04,55000,2013, Arizona,
San Tan Valley CDP,Male,309.0,1325.0,429.0,73.0,784.0,856.0,1353.0,728.0,1833.0,999.0,1759.0,943.0,1480.0,1656.0,658.0,1395.0,1482.0,1223.0,1675.0,1202.0,04,64210,2013, Arizona,
Scottsdale city,Male,2430.0,2802.0,2085.0,2201.0,3477.0,724.0,2442.0,1256.0,1742.0,714.0,1458.0,3603.0,3634.0,2204.0,2525.0,3258.0,3647.0,2969.0,6377.0,18149.0,04,65000,2013, Arizona,
Surprise city,Male,977.0,984.0,650.0,942.0,980.0,650.0,449.0,527.0,732.0,380.0,1452.0,1579.0,2877.0,1042.0,1561.0,2152.0,2223.0,2389.0,1681.0,1498.0,04,71510,2013, Arizona,
Tempe city,Male,3328.0,2376.0,2523.0,1483.0,3304.0,2542.0,2110.0,893.0,4182.0,1571.0,4389.0,3117.0,2934.0,2149.0,2355.0,2387.0,4068.0,2306.0,3731.0,5037.0,04,73000,2013, Arizona,
Tucson city,Male,11805.0,7591.0,8452.0,5823.0,8144.0,5284.0,8470.0,5714.0,9471.0,6274.0,8997.0,9145.0,5179.0,9203.0,4182.0,5054.0,6070.0,4077.0,6819.0,6547.0,04,77000,2013, Arizona,
